,schedule_type,Run,Cooperating_Agents,Simulation Seed,width,height,payoffs
0,Random,0,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
1,Random,1,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
2,Random,2,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
3,Random,3,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
4,Random,4,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
5,Random,5,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
6,Random,6,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
7,Random,7,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
8,Random,8,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
9,Random,9,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
10,Sequential,10,2500,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
11,Sequential,11,2500,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
12,Sequential,12,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
13,Sequential,13,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
14,Sequential,14,2500,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
15,Sequential,15,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
16,Sequential,16,2500,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
17,Sequential,17,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
18,Sequential,18,2500,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
19,Sequential,19,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
20,Simultaneous,20,9,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
21,Simultaneous,21,157,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
22,Simultaneous,22,55,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
23,Simultaneous,23,9,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
24,Simultaneous,24,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
25,Simultaneous,25,297,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
26,Simultaneous,26,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
27,Simultaneous,27,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
28,Simultaneous,28,248,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
29,Simultaneous,29,0,,50,50,"{('C', 'C'): 1, ('C', 'D'): 0, ('D', 'C'): 2, ('D', 'D'): 0}"
