,Random_0,Random_1,Random_2,Random_3,Random_4,Random_5,Random_6,Random_7,Random_8,Random_9,Sequential_10,Sequential_11,Sequential_12,Sequential_13,Sequential_14,Sequential_15,Sequential_16,Sequential_17,Sequential_18,Sequential_19,Simultaneous_20,Simultaneous_21,Simultaneous_22,Simultaneous_23,Simultaneous_24,Simultaneous_25,Simultaneous_26,Simultaneous_27,Simultaneous_28,Simultaneous_29
0,1225,1216,1223,1229,1237,1294,1216,1257,1300,1250,1249,1261,1258,1219,1208,1252,1252,1253,1250,1283,1266,1267,1267,1257,1288,1197,1297,1221,1219,1213
1,594,683,686,623,586,615,614,549,604,623,2500,2500,0,0,2500,0,2500,0,2500,0,1269,1261,1263,1272,1275,1229,1314,1204,1221,1235
2,19,58,94,67,26,36,83,37,41,19,2500,2500,0,0,2500,0,2500,0,2500,0,41,19,29,28,24,44,43,16,34,48
3,3,17,32,16,0,33,21,16,7,0,2500,2500,0,0,2500,0,2500,0,2500,0,19,15,5,9,4,26,9,8,24,32
4,0,8,19,1,0,42,2,4,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,19,20,9,9,0,28,6,0,28,24
5,0,0,2,0,0,47,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,18,27,15,9,0,48,8,0,46,36
6,0,0,0,0,0,68,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,18,40,23,9,0,74,10,0,67,30
7,0,0,0,0,0,65,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,10,53,34,9,0,100,5,0,83,17
8,0,0,0,0,0,30,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,59,42,9,0,121,0,0,103,11
9,0,0,0,0,0,13,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,66,48,9,0,146,0,0,119,3
10,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,72,48,9,0,175,0,0,134,2
11,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,80,49,9,0,192,0,0,146,3
12,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,91,47,9,0,210,0,0,161,0
13,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,99,45,9,0,218,0,0,179,0
14,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,110,46,9,0,231,0,0,193,0
15,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,117,48,9,0,238,0,0,206,0
16,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,129,47,9,0,247,0,0,217,0
17,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,142,49,9,0,264,0,0,222,0
18,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,151,50,9,0,287,0,0,226,0
19,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,159,50,9,0,298,0,0,236,0
20,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,2500,0,2500,0,2500,0,9,157,55,9,0,297,0,0,248,0
